"","shift_day","study_member_id","date","time","time_point","single_stress","tlx_1","tlx_2","tlx_3","tlx_4","tlx_5","tlx_6","tlx_7","tlx_8","tlx_9","tlx_10","tlx_11","tlx_12","tps_1","tps_2","tps_3","tps_4","tps_5","tps_6","tps_7","tps_8","tps_9","tps_10","stressors_1","stressors_2","stressors_3","stressors_4","stressors_5","stressors_6","stressors_7","stressors_8","stressors_9","stressors_10","stressors_11","stressors_12","stressors_13","code_eval_1","code_eval_2","mayo_1","mayo_2","mayo_3","mayo_4","mayo_5","mayo_6","mayo_7","mayo_8","mayo_9","mayo_10","mayo_11","mayo_12","mayo_13","mayo_14","mayo_15","mayo_16","trust_1","trust_2","trust_3","trust_4","trust_5","trust_6","trust_7","trust_8","trust_9","trust_10","trust_11","trust_12","trust_13","trust_14","trust_15","trust_16","trust_17","trust_18","trust_19","trust_20","trust_21","belief_1","belief_2","belief_3","belief_4","belief_5","belief_6","belief_7","belief_8","belief_9","belief_10","belief_11","belief_12","belief_13","belief_14","belief_15","belief_16","belief_17","belief_18","mbi_1","mbi_2","shift_type","role","team","team_census","team_ppv","team_vaso","team_ecmo","team_renal","team_cardiac","red_pm_census","red_pm_ppv","red_pm_vaso","red_pm_ecmo","red_pm_renal","red_pm_cardiac","picu_census","admit_picu","transfer_picu","discharge_picu","beside_nurse_picu","tlx_individual","tlx_team","stressors_total","trust_prop_t","trust_perc_t","trust_coop_beh","trust_mon_beh","tps_transition","tps_action","tps_interpersonal","belief_process","belief_potency","mbi","mayo_total","HR_prop_missing","HR_Se","HR_AR","HR_Empath","HR_Driver","EDA_prop_missing","EDA_Se","EDA_AR","EDA_Empath","EDA_Driver"
"11","P6",2678,"10/16/20",16:12:00,3,5,6,4,7,12,12,6,11,11,5,15,10,7,3,4,4,3,1,4,3,1,4,4,0,1,0,0,0,1,0,0,0,0,0,0,1,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.83333333333333,9.83333333333333,3,NA,NA,NA,NA,3.66666666666667,2.75,3,NA,NA,NA,NA,0,0.000210708538528297,0.439118457778261,0.446672228141973,0.448594572149371,0,3.32701584929411e-05,0.346718283222197,0.347407946984533,0.34732699505127
"12","P6",2858,"10/16/20",16:31:00,3,4,6,9,8,20,5,3,3,10,5,15,8,11,4,4,4,4,4,4,4,4,3,4,0,0,0,0,0,0,0,0,1,0,0,0,1,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,8.66666666666667,2,NA,NA,NA,NA,4,4,3.66666666666667,NA,NA,NA,NA,0,0.000210708538528297,0.498581036502152,0.511533795718771,0.505917222526879,0,3.32701584929411e-05,0.914691661555428,0.921017408755845,0.950959503900314
"13","P6",1475,"10/16/20",18:44:00,4,2,3,3,1,20,3,3,3,3,3,20,2,1,5,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,5,6,6,6,7,6,6,2,2,6,3,5,6,2,4,7,5,4,3,11,11,11,11,11,11,11,11,11,11,5,5,4,4,5,5,5,5,5,4,"1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,5.33333333333333,0,6.16666666666667,6.16666666666667,5.16666666666667,4,4.33333333333333,4,4,11,4.75,4.5,NA,0.014405762304922,7.89941910129318e-05,0.280819361402289,0.30989935287715,0.285456044217235,0.0143318076086141,1.70603976687077e-05,0.881613165017974,0.884129592968575,0.89526599952602
"14","P6",2325,"10/16/20",18:53:00,4,3,5,3,5,15,4,3,7,10,5,15,5,3,3,3,4,3,3,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,6,6,5,6,6,5,6,2,3,6,5,5,6,2,4,6,4,6,4,8,9,6,10,11,11,10,11,9,11,4,4,3,4,4,4,4,4,5,4,"1","3","3",5,3,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.83333333333333,7.5,1,5.66666666666667,5.66666666666667,5.33333333333333,4.66666666666667,3.33333333333333,3.5,4,9.6,3.875,4.5,NA,0.014405762304922,7.89941910129318e-05,0.414137854157995,0.435516825799538,0.426858448171344,0.0143318076086141,1.70603976687077e-05,0.060707235491857,0.0730852856227076,0.0618887162441525
"15","P6",2858,"10/16/20",19:19:00,4,4,6,2,4,15,4,10,3,10,7,15,10,8,3,3,3,3,3,4,4,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,5,6,6,6,6,4,6,1,2,5,6,5,5,2,2,5,5,5,5,5,7,5,7,8,8,9,9,5,9,3,3,3,4,5,4,5,3,2,2,"1","3","1",10,4,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.83333333333333,8.83333333333333,1,5.66666666666667,5.66666666666667,5.5,5,3,3.5,3.33333333333333,7.2,3.75,2,NA,0.014405762304922,7.89941910129318e-05,0.381307629712706,0.385715234583771,0.416398527065543,0.0143318076086141,1.70603976687077e-05,0.766196532152669,0.782851628660704,0.773864534411773
"16","P6",2678,"10/16/20",20:21:00,4,7,5,2,6,11,7,9,11,15,13,15,12,8,3,5,4,2,1,3,4,2,4,4,0,0,0,0,0,0,0,0,0,0,0,1,1,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,4,5,6,6,6,4,6,4,3,5,5,3,5,2,3,6,4,4,6,3,4,6,10,9,9,9,9,9,9,4,4,4,4,4,4,5,4,3,1,"1","3","2",11,4,2,0,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.66666666666667,12.3333333333333,2,5.5,5,5,4.66666666666667,4,2.5,3.33333333333333,7.7,4.125,2,NA,0.014405762304922,7.89941910129318e-05,0.504283842182917,0.510172124278028,0.512590518084364,0.0143318076086141,1.70603976687077e-05,0.358002846499649,0.366672851941964,0.375720109012004
"17","1",2487,"10/30/20",07:06:00,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","1",2269,"10/30/20",07:14:00,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","1",1573,"10/30/20",08:00:00,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","1",2802,"10/30/20",08:22:00,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","1",2269,"10/30/20",11:12:00,2,4,10,2,5,17,10,17,1,5,2,8,8,10,3,4,4,3,3,5,3,4,3,5,1,1,0,0,0,0,1,1,0,0,0,0,1,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1666666666667,5.66666666666667,5,NA,NA,NA,NA,3.66666666666667,3.5,4,NA,NA,NA,NA,0.0372196375251719,0.000697535126119715,0.275480885472521,0.283466365941875,0.288797170852085,0.0365252413026873,4.9782856343638e-05,0.830478630107474,0.838396913059838,0.852796078054944
"22","1",2487,"10/30/20",11:42:00,2,7,17,12,13,19,9,11,8,19,8,16,9,10,3,4,4,2,2,4,4,4,4,4,1,1,0,0,1,1,0,1,0,0,0,1,0,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.5,11.6666666666667,6,NA,NA,NA,NA,3.66666666666667,3,4,NA,NA,NA,NA,0.0372196375251719,0.000697535126119715,0.347906585792485,0.350993710128809,0.355404299740697,0.0365252413026873,4.9782856343638e-05,0.66953850280157,0.690116925287562,0.681345975239171
"23","1",1573,"10/30/20",11:43:00,2,3,5,2,2,18,5,1,2,4,3,18,3,3,3,3,4,2,2,4,4,2,3,4,0,0,0,0,1,0,0,0,0,0,0,0,0,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,5.5,1,NA,NA,NA,NA,3.33333333333333,3,3,NA,NA,NA,NA,0.0372196375251719,0.000697535126119715,0.451566631856953,0.470498061895544,0.458551221276517,0.0365252413026873,4.9782856343638e-05,0.297199662609583,0.30945202437379,0.30251974496912
"24","1",2802,"10/30/20",11:59:00,2,6,13,4,10,13,10,3,16,14,8,16,7,3,3,5,4,4,3,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.83333333333333,10.6666666666667,1,NA,NA,NA,NA,4,3.75,4,NA,NA,NA,NA,0.0372196375251719,0.000697535126119715,0.363735088220526,0.369108314431829,0.371313760528758,0.0365252413026873,4.9782856343638e-05,0.618059764282032,0.629649979123755,0.630954043581711
"25","1",1573,"10/30/20",15:23:00,3,5,7,2,10,16,12,10,8,12,10,14,15,10,3,4,4,3,3,4,3,3,4,3,0,1,0,0,0,0,0,1,0,0,0,0,1,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5,11.5,3,NA,NA,NA,NA,3.66666666666667,3.25,3.33333333333333,NA,NA,NA,NA,0,1.88816848288584e-05,0.403270565796975,0.414899433939269,0.40612445699603,0,8.21795776493759e-06,0.493141376329085,0.501570478407545,0.501030929936245
"26","1",2802,"10/30/20",17:35:00,3,7,13,7,13,14,11,3,9,10,5,17,4,3,3,4,4,4,3,4,3,3,5,4,0,1,0,0,0,0,0,0,0,0,0,0,0,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1666666666667,8,1,NA,NA,NA,NA,3.66666666666667,3.5,4,NA,NA,NA,NA,0,1.88816848288584e-05,0.338851120538579,0.35098036768602,0.341689282061019,0,8.21795776493759e-06,0.823912636236737,0.827273336298245,0.832584753126711
"27","1",2487,"10/30/20",17:37:00,3,4,13,8,8,14,11,10,12,11,8,14,7,7,4,4,4,2,2,5,5,4,4,4,0,0,0,0,1,0,0,0,0,0,0,0,1,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.6666666666667,9.83333333333333,2,NA,NA,NA,NA,4,3.5,4,NA,NA,NA,NA,0,1.88816848288584e-05,0.25866166327823,0.260859421325593,0.270319687948478,0,8.21795776493759e-06,0.514262644795696,0.52864783098575,0.521057659213366
